"Id","Name","BillingCountry","NumberOfEmployees","Phone"
"001al00002KRWaLAAX","Apex Solutions US","US","500","+1 (555) 201-0001"
"001al00002KRWbxAAH","Bright Tech Corp","US","250","+1 (555) 201-0001"
"001al00002KR7wyAAD","Crown Enterprises","UK","75","+44 20 7946 0002"
"001al00002KRSoVAAX","Delta Systems GmbH","DE","120","+49 30 12345003"
"001al00002KQWXgAAP","Echo Trading Ltd","JP","60","+81 3-1234-0004"
"001al00002KQyaSAAT","Frontier Pty Ltd","AU","90","+61 2 9876 0005"
"001al00002KQb95AAD","Global Nexus Inc","CA","200","+1 (416) 555-0006"
"001al00002KROg2AAH","Horizon SARL","FR","45","+33 1 23 45 67 07"
"001al00002KRNIdAAP","Indus Ventures Pvt","IN","300","+91 98765 00008"
"001al00002KRWdZAAX","Jaguar Digital SA","BR","85","+55 11 91234-0009"
